Volume,Normalized Rank
18.7912043321,0.002881844380403458
0.2140120088,0.005763688760806916
0.1463071546,0.008645533141210375
0.131212549,0.011527377521613832
0.118478402,0.01440922190201729
0.0872866119,0.01729106628242075
0.0679624991,0.020172910662824207
0.057340092,0.023054755043227664
0.0550880472,0.025936599423631124
0.0399039488,0.02881844380403458
0.0343457055,0.03170028818443804
0.0339559961,0.0345821325648415
0.0310710928,0.037463976945244955
0.0299805472,0.040345821325648415
0.0285012075,0.043227665706051875
0.0279263326,0.04610951008645533
0.0270009631,0.04899135446685879
0.0263802355,0.05187319884726225
0.0260917681,0.05475504322766571
0.0214646164,0.05763688760806916
0.0201244367,0.06051873198847262
0.0166550457,0.06340057636887608
0.0142776499,0.06628242074927954
0.0121113595,0.069164265129683
0.0101644142,0.07204610951008646
0.0096060187,0.07492795389048991
0.0095831306,0.07780979827089338
0.0075290686,0.08069164265129683
0.0073081213,0.08357348703170028
0.0072036748,0.08645533141210375
0.0071463017,0.0893371757925072
0.0067855077,0.09221902017291066
0.0066600041,0.09510086455331412
0.006518784,0.09798270893371758
0.0061775212,0.10086455331412104
0.0059085087,0.1037463976945245
0.0058663944,0.10662824207492795
0.0057416538,0.10951008645533142
0.0053897099,0.11239193083573487
0.0052803806,0.11527377521613832
0.0052525333,0.11815561959654179
0.0051111606,0.12103746397694524
0.0048823551,0.1239193083573487
0.0048290256,0.12680115273775217
0.0042469028,0.12968299711815562
0.0041992952,0.13256484149855907
0.0041142275,0.13544668587896252
0.0040291598,0.138328530259366
0.0038682559,0.14121037463976946
0.0038237003,0.1440922190201729
0.0037494662,0.14697406340057637
0.0035073855,0.14985590778097982
0.0032857516,0.15273775216138327
0.0032073977,0.15561959654178675
0.0030467989,0.1585014409221902
0.003046036,0.16138328530259366
0.0028865816,0.1642651296829971
0.0026904299,0.16714697406340057
0.0026644136,0.17002881844380405
0.0026626589,0.1729106628242075
0.0026194002,0.17579250720461095
0.0026058962,0.1786743515850144
0.0025610353,0.18155619596541786
0.0025590517,0.1844380403458213
0.0025069429,0.1873198847262248
0.0024633028,0.19020172910662825
